FECHA,DEPARTAMENTO,MUNICIPIO,DÍA,CLASE DE ARMA,PERMISO,ZONA,CLASE DE SITIO,CÓDIGO DANE,CANTIDAD
01/01/2017,AMAZONAS,LETICIA (CT),Domingo,REVOLVER,CON PERMISO,RURAL,VIAS PUBLICAS,91001000,1
01/01/2017,ANTIOQUIA,ANORÍ,Domingo,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,5040000,1
01/01/2017,ANTIOQUIA,FREDONIA,Domingo,REVOLVER,SIN PERMISO,RURAL,VIAS PUBLICAS,5282000,1
01/01/2017,ANTIOQUIA,SAN VICENTE,Domingo,PISTOLA,SIN PERMISO,RURAL,FINCAS Y SIMILARES,5674000,1
01/01/2017,ANTIOQUIA,SOPETRÁN,Domingo,ESCOPETA,CON PERMISO,RURAL,FINCAS Y SIMILARES,5761000,1
01/01/2017,BOLÍVAR,MONTECRISTO,Domingo,CARABINA,SIN PERMISO,RURAL,ZONA SELVÁTICA,13458000,1
01/01/2017,BOLÍVAR,MONTECRISTO,Domingo,FUSIL / RIFLE,SIN PERMISO,RURAL,ZONA SELVÁTICA,13458000,13
01/01/2017,BOLÍVAR,MONTECRISTO,Domingo,LANZA GRANADAS,SIN PERMISO,RURAL,ZONA SELVÁTICA,13458000,1
01/01/2017,BOLÍVAR,MONTECRISTO,Domingo,PISTOLA,SIN PERMISO,RURAL,ZONA SELVÁTICA,13458000,3
01/01/2017,BOLÍVAR,MONTECRISTO,Domingo,REVOLVER,SIN PERMISO,RURAL,ZONA SELVÁTICA,13458000,2
01/01/2017,BOYACÁ,DUITAMA,Domingo,ESCOPETA DE FISTO,SIN PERMISO,RURAL,FINCAS Y SIMILARES,15238000,1
01/01/2017,CALDAS,MARMATO,Domingo,PISTOLA,SIN PERMISO,RURAL,VIAS PUBLICAS,17442000,1
01/01/2017,CASANARE,SAN LUIS DE PALENQUE,Domingo,REVOLVER,SIN PERMISO,RURAL,FINCAS Y SIMILARES,85325000,1
01/01/2017,CAUCA,BUENOS AIRES,Domingo,REVOLVER,SIN PERMISO,RURAL,VIAS PUBLICAS,19110000,1
01/01/2017,CAUCA,CORINTO,Domingo,PISTOLA,CON PERMISO,URBANA,VIAS PUBLICAS,19212000,1
01/01/2017,CAUCA,CORINTO,Domingo,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,19212000,1
01/01/2017,CAUCA,PIENDAMÓ,Domingo,REVOLVER,SIN PERMISO,URBANA,"BARES, CANTINAS Y SIMILARES",19548000,1
01/01/2017,CAUCA,SANTANDER DE QUILICHAO,Domingo,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,19698000,1
01/01/2017,CAUCA,SANTANDER DE QUILICHAO,Domingo,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,19698000,1
01/01/2017,CESAR,AGUSTÍN CODAZZI,Domingo,ESCOPETA,SIN PERMISO,RURAL,CARRETERA,20013000,1
01/01/2017,CESAR,RÍO DE ORO,Domingo,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,20614000,1
01/01/2017,CESAR,VALLEDUPAR (CT),Domingo,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,20001000,1
01/01/2017,CHOCÓ,QUIBDÓ (CT),Domingo,PISTOLA,SIN PERMISO,URBANA,DENTRO DE LA VIVIENDA,27001000,1
01/01/2017,CÓRDOBA,MOMIL,Domingo,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,23464000,1
01/01/2017,CÓRDOBA,MONTELÍBANO,Domingo,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,23466000,1
01/01/2017,CÓRDOBA,SAHAGÚN,Domingo,ESCOPETA,SIN PERMISO,URBANA,FINCAS Y SIMILARES,23660000,1
01/01/2017,CUNDINAMARCA,FUSAGASUGÁ,Domingo,REVOLVER,SIN PERMISO,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,25290000,1
01/01/2017,GUAJIRA,BARRANCAS,Domingo,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,44078000,1
01/01/2017,GUAJIRA,MAICAO,Domingo,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,44430000,1
01/01/2017,GUAJIRA,MAICAO,Domingo,REVOLVER,CON PERMISO,RURAL,TRAMO DE VIA,44430000,2
01/01/2017,GUAJIRA,MAICAO,Domingo,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,44430000,1
01/01/2017,GUAJIRA,MAICAO,Domingo,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,44430000,1
01/01/2017,GUAJIRA,MAICAO,Domingo,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,44430000,1
01/01/2017,GUAVIARE,MIRAFLORES,Domingo,ESCOPETA,SIN PERMISO,URBANA,VIAS PUBLICAS,95200000,1
01/01/2017,HUILA,GUADALUPE,Domingo,REVOLVER,SIN PERMISO,RURAL,VIAS PUBLICAS,41319000,1
01/01/2017,ATLÁNTICO,BARRANQUILLA (CT),Domingo,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,8001000,1
