AÑO,CÓDIGO_ETC,ETC,POBLACIÓN_5_16,TASA_MATRICULACIÓN_5_16,COBERTURA_NETA,COBERTURA_NETA_TRANSICIÓN,COBERTURA_NETA_PRIMARIA,COBERTURA_NETA_SECUNDARIA,COBERTURA_NETA_MEDIA,COBERTURA_BRUTA,COBERTURA_BRUTA_TRANSICIÓN,COBERTURA_BRUTA_PRIMARIA,COBERTURA_BRUTA_SECUNDARIA,COBERTURA_BRUTA_MEDIA,TAMAÑO_PROMEDIO_DE_GRUPO,SEDES_CONECTADAS_A_INTERNET,DESERCIÓN,DESERCIÓN_TRANSICIÓN,DESERCIÓN_PRIMARIA,DESERCIÓN_SECUNDARIA,DESERCIÓN_MEDIA,APROBACIÓN,APROBACIÓN_TRANSICIÓN,APROBACIÓN_PRIMARIA,APROBACIÓN_SECUNDARIA,APROBACIÓN_MEDIA,REPROBACIÓN,REPROBACIÓN_TRANSICIÓN,REPROBACIÓN_PRIMARIA,REPROBACIÓN_SECUNDARIA,REPROBACIÓN_MEDIA,REPITENCIA,REPITENCIA_TRANSICIÓN,REPITENCIA_PRIMARIA,REPITENCIA_SECUNDARIA,REPITENCIA_MEDIA
2012,3828,Amazonas (ETC),22194,818734793187348,81.87,60.22,85.62,53.33,22.31,94.76,60.22,85.62,53.33,22.31,19.34,20.91,4.7,5.16,2.3,7.97,8.06,93.74,94.84,95.78,90.68,89.96,1.56,0,1.92,1.35,1.98,3.9,0.67,3.32,6.17,3.39
2013,3828,Amazonas (ETC),22123,81.84,81.83,48.38,83.96,58.22,22.09,95.41,96.86,111.83,91.23,59.61,27.6,12.84,3.29,3.16,1.82,5.26,5.57,95.78,96.84,97.05,94.17,92.31,0.93,0,1.13,0.56,2.12,4.32,2.46,4.41,5.16,2.58
2011,3828,Amazonas (ETC),22223,82.34,82.32,63.68,87.23,50.65,21.91,94.53,94.49,117.82,82.46,58.01,14.95,36.36,5.46,5.56,3.67,8.21,7.9,91.16,94.27,92.83,88.63,85.15,3.38,0.17,3.5,3.16,6.95,1.65,0.65,2.02,1.39,1.34
2014,3828,Amazonas (ETC),22167,82.13,82.11,43.91,84.93,57.69,23.09,95.65,89.5,114.05,89.12,63.26,20.29,16.51,3.04,2.97,1.95,4.67,4.35,96.93,97.03,98.02,95.28,95.65,0.03,0,0.03,0.05,0,6.3,2.77,6.83,7.25,3.17
2017,3828,Amazonas (ETC),22269,83.6,82.1,48.95,80.56,60.67,30.05,96.56,92.62,108,94.3,72.21,20.971,16.5,4.88,6.38,3.06,6.98,6.23,87.45,92.71,90.04,82,86.58,7.67,0.91,6.91,11.01,7.19,5.96,3.3,7.06,6.05,2.42
2015,3828,Amazonas (ETC),22212,81.49,81.46,40.65,82.75,59.41,26.52,95.76,79.35,111.01,94.27,67.01,20.13,16.36,4.76,4.54,2.53,8,6.69,89.23,95.19,90.55,85.73,88.52,6.01,0.27,6.92,6.27,4.79,5.15,1.36,5.14,6.39,4.15
2016,3828,Amazonas (ETC),22243,81.36,81.35,45.44,80.27,59.77,26.64,96.12,84.42,108.78,96.16,68.38,21.218,26.61,5.06,5.23,2.75,8.49,5.96,89.11,94.45,91.28,84.46,88.25,5.83,0.32,5.97,7.05,5.79,6.61,1.66,7.5,7.17,4.14
2014,3758,Antioquia (ETC),586947,87.99,87.94,59.24,89.13,68.71,33.98,99.48,80.55,114.87,100.76,67.98,30.57,58.01,2.68,2.4,2.26,3.55,2.23,96.3,97.54,96.9,95.05,96.32,1.02,0.06,0.84,1.4,1.44,1.87,0.19,1.77,2.69,1.09
2011,3758,Antioquia (ETC),599438,90.98,90.95,68.91,93.85,66.85,33.83,101.73,84.91,122.24,98.66,65.99,25.07,74.68,4.16,3.89,3.93,4.71,3.87,92.18,95.98,92.89,90.65,90.44,3.67,0.13,3.2,4.65,5.69,2.02,0.15,1.94,2.89,1.24
2013,3758,Antioquia (ETC),590211,89.22,89.17,61.67,90.65,69.02,34.18,102.17,84.4,119.76,101.78,68.31,54.76,64.42,3.84,3.36,3.27,5.03,3.28,91.15,96.47,91.99,88.68,90.66,5.01,0.17,4.74,6.29,6.06,1.7,0.19,1.59,2.44,1.19
2017,3758,Antioquia (ETC),588225,82.4,82.35,51.2,79.65,68.32,36.68,93.37,71.93,101.96,99.67,69.47,29.463,22.8,4.9,4.11,3.87,6.76,4.19,89.98,95.73,91.33,86.52,91.01,5.12,0.16,4.8,6.72,4.8,5.44,1.26,6.1,6.38,1.96
